	Hits
ERR1001626	6.450376243458663
ERR1001627	6.404646294601134
ERR1328122	6.282551193988834
ERR1328123	6.385314796873705
ERR1328124	6.386757265252672
ERR1328125	6.280912327302014
ERR1328126	6.223900009343776
ERR1328127	6.230665587506039
ERR1336911	6.516792628589418
ERR1336912	6.502226251765524
ERR3562601	6.196444501580217
ERR3586677	6.152714115511308
ERR3586678	6.230671019239204
ERR3586679	6.323388594515558
ERR3586680	6.203556769658647
ERR3586681	6.211824435704179
ERR3586682	6.509428363784898
ERR3586683	6.167229174148148
ERR3586684	6.3928167389476975
ERR3586685	6.245056431284772
ERR3586686	6.2550197399917895
ERR3586687	6.353846075592575
ERR3586688	6.308197770592508
ERR3586689	6.305599486810494
ERR3586690	6.126345745993778
ERR3586691	6.328334383742741
ERR3586692	6.1610955512922185
ERR3586693	6.273423492539588
ERR3586694	6.182246379708326
ERR3586695	6.40031281120367
ERR3586696	6.251650780261021
ERR3586697	6.386839718307375
ERR3586698	6.476126089446744
ERR3586699	6.456816419155931
ERR3586700	6.585995395566674
ERR3586701	6.398014704723879
ERR3586702	6.314340144585558
ERR3586703	6.500069666380229
ERR3586704	6.3614066842785135
ERR3586705	6.314001376581253
ERR3586706	6.44469278627036
ERR3586707	6.2883873725755945
ERR3586708	6.44585874960849
ERR3586709	6.2298804596666955
ERR3586710	6.317310451770359
ERR3586711	6.170285547632789
ERR3586712	6.151543892226333
ERR3586713	6.228285777550724
ERR3586714	6.228964356463912
ERR3586715	6.325135092338608
ERR3586716	6.169190752254836
ERR3586717	6.156548013182367
ERR3586718	6.251660626928969
ERR3586719	6.454651078385366
ERR3586720	6.585744262065222
ERR3586721	6.509542685711212
ERR3586722	6.353653453790102
ERR3586723	6.311749276063042
ERR3586724	6.443064031551612
ERR3586725	6.298844446866255
ERR3586726	6.3309790067270715
ERR3586727	6.212420808658047
ERR3586728	6.246479838447717
ERR3586729	6.249623351405365
ERR3586730	6.311850003673633
ERR3586731	6.453627572786805
ERR3586732	6.252533825331125
ERR3586733	6.108083155573468
ERR3586734	6.3375438516843605
ERR3586735	6.154144274003073
ERR3586736	6.266129834192655
ERR3586737	6.186748379077999
ERR3586738	6.151422366154509
ERR3586739	6.394870678980684
ERR3586740	6.3180361172558595
ERR3586741	6.20741772486468
ERR3586742	6.514645762151913
ERR3586743	6.164366201005885
ERR3586744	6.391096554691746
ERR3586745	6.257551976057863
ERR3586746	6.353929990365535
