	Device	Year	Latitude	Longitude	Feature	Depth top	Sample material	Biome	Region	Province	Season	Season period	SSD	PAR	SST	Fe	NH4	NO2	NO3	SSChla	Chl	Ssphi	POC	PIC	Bathy depth	SST	SSM	u	v	OW	MLE	RT	Age	Lat_plastic	Lon_plastic	Plastic_count
ERR1001626	High Volume Peristaltic Pump	2010	-20.9354	-35.1803	SRF	3.0	0.22-3	Trades Biome	South Atlantic Ocean	South Atlantic Gyral Province	spring	early	755.0	50.914387	23.79766	0.000776878	0.011959192	0.013930039	0.013453111	0.0390392448753119	15.618	1.089820558	24.611780166626	9.30797687033e-05	-3847.0	0.59536	1.2e-07	0.47917	2.691546	0.084131	0.027592	0.0	120.0	-21.0	-35.19999999999999	2815.8161727404613
ERR1001627	High Volume Peristaltic Pump	2010	-30.1367	-43.2899	SRF	3.0	0.22-3	Trades Biome	South Atlantic Ocean	South Atlantic Gyral Province	spring	middle	802.0	58.560814	20.8267705	0.000862562	0.017718557	0.012364627	0.001974124	0.0684884004294872	20.9027	1.737209334	39.0039539337158	0.0002048036621999	-3887.0	3.7648	1.5787e-05	8.645021	-6.42114	0.053558	0.14819	5.777778	68.0	-30.200000000000003	-43.19999999999999	984.4604057035378
ERR1328122	High Volume Peristaltic Pump	2012	36.1715	-29.023	SRF	3.0	0.22-3	Westerlies Biome	North Atlantic Ocean	North Atlantic Subtropical Gyral Province	winter	late	704.0	39.292362	17.12830525	0.00129951	0.021044872	0.036169071	0.306125077	0.12386455014348	16.2202	1.003040194	45.3979606628418	0.0001110673292714	-3478.0	1.5662	1.0581e-05	-4.997032	3.058714	-0.157861	0.025897	37.583333	76.0	36.199999999999996	-29.0	7884.059733241303
ERR1328123	High Volume Peristaltic Pump	2010	18.5839	66.4727	DCM	23.0	0.22-1.6	Trades Biome	Indian Ocean	Indian Monsoon Gyres Province	winter	late	724.0	50.0351		0.00138772	0.0255102	0.004728645	0.003323513	0.309260010719299	29.1818	0.81377348	81.8085517883301	0.0002288970426889	-3265.0	0.28957	9.5989e-05	-0.557961	15.046586	0.403157		2.25	120.0	18.599999999999994	66.4	10645.136898502702
ERR1328124	High Volume Peristaltic Pump	2010	18.5839	66.4727	DCM	23.0	0.22-1.6	Trades Biome	Indian Ocean	Indian Monsoon Gyres Province	winter	late	724.0	50.0351		0.00138772	0.0255102	0.004728645	0.003323513	0.309260010719299	29.1818	0.81377348	81.8085517883301	0.0002288970426889	-3265.0	0.28957	9.5989e-05	-0.557961	15.046586	0.403157		2.25	120.0	18.599999999999994	66.4	10645.136898502702
ERR1328125	High Volume Peristaltic Pump	2012	36.1715	-29.023	SRF	3.0	0.22-3	Westerlies Biome	North Atlantic Ocean	North Atlantic Subtropical Gyral Province	winter	late	704.0	39.292362	17.12830525	0.00129951	0.021044872	0.036169071	0.306125077	0.12386455014348	16.2202	1.003040194	45.3979606628418	0.0001110673292714	-3478.0	1.5662	1.0581e-05	-4.997032	3.058714	-0.157861	0.025897	37.583333	76.0	36.199999999999996	-29.0	7884.059733241303
ERR1328126	High Volume Peristaltic Pump	2012	36.1715	-29.023	SRF	3.0	0.22-3	Westerlies Biome	North Atlantic Ocean	North Atlantic Subtropical Gyral Province	winter	late	704.0	39.292362	17.12830525	0.00129951	0.021044872	0.036169071	0.306125077	0.12386455014348	16.2202	1.003040194	45.3979606628418	0.0001110673292714	-3478.0	1.5662	1.0581e-05	-4.997032	3.058714	-0.157861	0.025897	37.583333	76.0	36.199999999999996	-29.0	7884.059733241303
ERR1328127	High Volume Peristaltic Pump	2012	36.1715	-29.023	SRF	3.0	0.22-3	Westerlies Biome	North Atlantic Ocean	North Atlantic Subtropical Gyral Province	winter	late	704.0	39.292362	17.12830525	0.00129951	0.021044872	0.036169071	0.306125077	0.12386455014348	16.2202	1.003040194	45.3979606628418	0.0001110673292714	-3478.0	1.5662	1.0581e-05	-4.997032	3.058714	-0.157861	0.025897	37.583333	76.0	36.199999999999996	-29.0	7884.059733241303
ERR1336911	High Volume Peristaltic Pump	2009	41.6686	2.7996	SRF	3.0	0.22-1.6	Westerlies Biome	Mediterranean Sea	Mediterranean Sea, Black Sea Province	unknown	unknown	697.0	32.782772	21.3595015	0.001387775	0.009132409	0.031807316	0.024274436	0.0989032611250877		0.945635229	43.0201759338379	1.99999994947e-05							0.0	0.0	0.0	41.599999999999994	2.8000000000000003	4007.4138923539226
ERR1336912	High Volume Peristaltic Pump	2009	41.6686	2.7996	SRF	3.0	0.22-1.6	Westerlies Biome	Mediterranean Sea	Mediterranean Sea, Black Sea Province	unknown	unknown	697.0	32.782772	21.3595015	0.001387775	0.009132409	0.031807316	0.024274436	0.0989032611250877		0.945635229	43.0201759338379	1.99999994947e-05							0.0	0.0	0.0	41.599999999999994	2.8000000000000003	4007.4138923539226
ERR3562601	High Volume Peristaltic Pump	2011	-9.1504	-140.5216	SRF	3.0	0.22-3	Trades Biome	South Pacific Ocean	South Pacific Subtropical Gyre Province, North and South	winter	middle	704.0	46.261963	26.5398265	2.459e-06	0.023188621	0.052577804	6.232079824	0.262448325753212	40.0394	2.509824984	73.1309623718262	0.0001654275692999	-2640.0	0.096513	2.46e-06	-2.752385	-2.994587	9.6e-05	0.043603	2.777778	37.0	-9.200000000000003	-140.6	69.41154728614536
ERR3586677	Rosette Vertical Sampling System	2013	70.9433	-53.5127	MES	407.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	early	560.0	3.867862	1.61744425	0.000494336	0.022793755	0.19323191	0.170150639		38.3162				-680.0						0.0	0.0	0.0	71.0	-53.599999999999966	43.254933814910714
ERR3586678	High Volume Peristaltic Pump	2013	69.1136	-51.5086	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	early	508.0	3.809503	2.562271	0.000453137	0.020453628	0.259672788	0.480761975		30.485				-344.0	1.5239		0.367103	4.62578	-0.016382	0.0	0.0	0.0	69.2	-51.599999999999966	42.21775581542776
ERR3586679	High Volume Peristaltic Pump	2013	77.9028	117.1545	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	middle	1212.0	12.036314	-0.0212592500000001	0.001270051	0.000620584	0.00842355	4.560707092		29.3207				-1071.0		2.7834e-05				0.0	0.0	120.0	78.0	117.2	411.1087262983554
ERR3586680	High Volume Peristaltic Pump	2013	77.9668	116.6556	DCM	18.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	late	1217.0	9.90421	-0.164390375	0.001270051	0.000620584	0.00842355	4.560707092		28.4383				-669.0	0.68124					0.0	0.0	120.0	78.0	116.60000000000001	513.7650569780795
ERR3586681	Rosette Vertical Sampling System	2013	78.0391	116.4105	MES	290.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	late	1194.0	10.175655	-0.241916	0.001270051	0.000620584	0.00842355	4.560707092		36.3938				-745.0	3.8218					0.0	0.0	120.0	78.0	116.4	501.0898914940893
ERR3586682	High Volume Peristaltic Pump	2013	71.5955	160.9383	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	unknown	unknown	936.0	13.118738	-1.3858895	0.001360622	0.000260443	0.008790679	7.268763781									-15.12963	-0.469043	-0.089788	0.0	2.777778	0.0	71.6	161.0	1.7017700419599062
ERR3586683	High Volume Peristaltic Pump	2013	71.0704	174.9916	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	late	873.0	14.347429	1.80960025	0.000702537	0.006029853	0.095924451	14.03496305	0.620001941919327	15.1918	0.355414821	132.819816589355	0.0007041772769298	-39.0	2.0072	6.2868e-05				0.0	0.0	0.0	71.0	175.0	26.191839445610135
ERR3586684	High Volume Peristaltic Pump	2013	73.3833	-168.1333	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	late	864.0	10.171419	-1.56424325	0.000713809	0.002943427	0.086454551	12.09370343		13.8046				-105.0	2.2379					0.0	0.0	0.0	73.4	-168.2	69.20195687131356
ERR3586685	High Volume Peristaltic Pump	2013	71.8895	-154.9101	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	late	822.0	7.702758	1.227844375	0.000241071	0.0284539	0.258621321	3.979379679		24.1722				-495.0	1.3129					0.0	0.0	0.0	71.8	-155.0	6.899241486225603
ERR3586686	Rosette Vertical Sampling System	2013	74.3386	-85.6208	DCM	27.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	early	657.0	6.523526	-1.54380875	0.000958759	0.000747411	0.010224308	6.634556611		41.7722	0.319321639			-547.0						0.0	0.0	0.0	74.4	-85.59999999999997	255.08346686843944
ERR3586687	High Volume Peristaltic Pump	2013	72.4693	-71.892	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	early	584.0	3.226999	-1.148921	0.000596423	0.018947516	0.152390116	1.684819688		15.8867				-1053.0			-1.411105	-7.393873	0.189964	0.113334	0.0	18.0	72.4	-71.80000000000001	429.8550073850134
ERR3586688	High Volume Peristaltic Pump	2013	70.9574	-53.5989	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	early	560.0	3.669108	1.620133	0.000494336	0.022793755	0.19323191	0.170150639		37.4641				-661.0						0.0	0.0	0.0	71.0	-53.599999999999966	43.254933814910714
ERR3586689	High Volume Peristaltic Pump	2013	64.7127	-53.0106	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	early	531.0	6.663158	2.08277725	0.000488831	0.029433576	0.29848822	0.505696426		14.5225	0.426086666			-489.0	3.0908		-0.604662	-2.629139	-0.050291	0.0	5.666667	0.0	64.8	-53.0	214.81751097654058
ERR3586690	Rosette Vertical Sampling System	2013	64.7	-52.996	MES	342.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	middle	531.0	6.663158	2.08277725	0.000488831	0.029433576	0.29848822	0.505696426		45.1248	0.426086666			-513.0	0.89078		-0.604662	-2.629139	-0.050291	0.0	5.666667	0.0	64.8	-53.0	214.81751097654058
ERR3586691	High Volume Peristaltic Pump	2013	61.5427	-55.9869	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	middle	535.0	4.333452	1.590825625	0.000208521	0.035179306	0.348001957	2.06166782		45.5689	1.120815054			-2770.0	0.82664		1.40349	8.462935	0.215913	0.078105	0.0	120.0	61.599999999999994	-56.0	572.2749524444939
ERR3586692	Rosette Vertical Sampling System	2013	61.5754	-55.9846	MES	382.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	middle	534.0	3.69642	1.590825625	0.000208521	0.035179306	0.348001957	2.06166782		37.6205	1.120815054			-2760.0	0.64044	6.968e-06	1.40349	8.462935	0.215913	0.078105	0.0	120.0	61.599999999999994	-56.0	572.2749524444939
ERR3586693	High Volume Peristaltic Pump	2013	73.3275	-168.8142	DCM	33.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	late	853.0	10.353479	-1.59113075	0.000713809	0.002943427	0.086454551	12.09370343		23.5982				-107.0	1.8125					0.0	0.0	0.0	73.4	-168.79999999999998	43.3452953797616
ERR3586694	High Volume Peristaltic Pump	2013	74.2987	-85.7806	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	autumn	early	657.0	6.623822	-1.5149495	0.000958759	0.000747411	0.010224308	6.634556611		40.7346	0.319321639			-536.0						0.0	0.0	0.0	74.2	-85.80000000000001	152.68392624251737
ERR3586695	High Volume Peristaltic Pump	2013	72.5128	44.0775	SRF	3.0	0.22-3	Polar Biome	Arctic Ocean	Boreal Polar Province	summer	early	1440.0	42.681683	8.042212375	0.000430005	0.006979311	0.001609991	0.041430494	0.569831639528275	48.5056	0.457819243	116.782550811768	0.0005796602345071	-267.0	0.45599	8.042e-06	2.081364	-0.467256	-0.011538	0.011037	1.222222	0.0	72.6	44.0	966.6427744362402
