,Hits
ERR1001626,7382
ERR1001627,4483
ERR1328122,4150
ERR1328123,27927
ERR1328124,7945
ERR1328125,15838
ERR1328126,15262
ERR1328127,4075
ERR1336911,35615
ERR1336912,9383
ERR3562601,91
ERR3586677,11503
ERR3586678,12050
ERR3586679,18707
ERR3586680,13170
ERR3586681,13195
ERR3586682,17874
ERR3586683,6150
ERR3586684,12565
ERR3586685,11979
ERR3586686,8086
ERR3586687,13720
ERR3586688,15573
ERR3586689,12246
ERR3586690,7137
ERR3586691,8613
ERR3586692,8659
ERR3586693,7890
ERR3586694,7431
ERR3586695,12495
ERR3586696,10271
ERR3586697,9640
ERR3586698,22037
ERR3586699,20862
ERR3586700,40610
ERR3586701,21052
ERR3586702,14485
ERR3586703,28701
ERR3586704,13589
ERR3586705,15945
ERR3586706,30825
ERR3586707,19432
ERR3586708,19194
ERR3586709,11201
ERR3586710,9851
ERR3586711,7446
ERR3586712,9470
ERR3586713,15137
ERR3586714,4843
ERR3586715,2521
ERR3586716,1885
ERR3586717,2544
ERR3586718,2707
ERR3586719,5379
ERR3586720,10472
ERR3586721,8074
ERR3586722,3521
ERR3586723,4221
ERR3586724,7632
ERR3586725,5499
ERR3586726,4410
ERR3586727,3002
ERR3586728,2791
ERR3586729,3584
ERR3586730,2822
ERR3586731,5830
ERR3586732,3514
ERR3586733,1600
ERR3586734,2285
ERR3586735,2024
ERR3586736,1816
ERR3586737,1893
ERR3586738,3904
ERR3586739,4876
ERR3586740,3763
ERR3586741,2977
ERR3586742,4250
ERR3586743,1334
ERR3586744,2997
ERR3586745,1939
ERR3586746,3364
ERR3586747,3711
ERR3586748,2887
ERR3586749,2625
ERR3586750,5737
ERR3586751,4666
ERR3586752,5707
ERR3586753,5423
ERR3586754,5538
ERR3586755,5537
ERR3586756,2245
ERR3586757,2162
ERR3586758,2205
ERR3586759,2185
ERR3586760,2944
ERR3586761,2825
ERR3586762,2912
ERR3586763,2839
ERR3586764,4405
ERR3586765,4271
ERR3586766,4189
ERR3586767,4291
ERR3586768,4616
ERR3586769,4552
ERR3586770,4551
ERR3586771,4657
ERR3586772,12193
ERR3586773,12225
ERR3586774,12113
ERR3586775,12124
ERR3586776,4318
ERR3586777,4426
ERR3586778,4395
ERR3586779,4340
ERR3586780,4774
ERR3586781,4686
ERR3586782,4657
ERR3586783,4686
ERR3586784,11074
ERR3586785,3943
ERR3586786,1860
ERR3586787,1857
ERR3586788,3841
ERR3586789,3774
ERR3586790,1820
ERR3586791,1787
ERR3586792,3631
ERR3586793,2792
ERR3586794,2847
ERR3586795,2850
ERR3586796,2720
ERR3586797,2681
ERR3586798,2643
ERR3586799,2698
ERR3586800,2625
ERR3586801,6004
ERR3586802,2805
ERR3586803,2694
ERR3586804,5626
ERR3586805,4243
ERR3586806,4280
ERR3586807,4422
